TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
09/11/2020;24;OSONA;08298;VIC;0;Home;Positiu PCR;28
23/06/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu PCR;1
03/04/2020;40;VALLES OCCIDENTAL;08184;RUBÍ;0;Home;Positiu PCR;2
03/09/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;0;Home;Positiu PCR;11
16/09/2020;09;BAIX EBRE;43013;L'AMETLLA DE MAR;0;Home;Positiu PCR;1
20/07/2020;20;GIRONES;17049;CELRÀ;0;Home;Positiu PCR;2
16/09/2020;41;VALLES ORIENTAL;08202;SANT CELONI;0;Home;Positiu PCR;3
24/08/2020;34;SELVA;17007;AMER;0;Home;Positiu PCR;1
10/09/2020;08;BAIX CAMP;43123;REUS;0;Home;Positiu PCR;6
25/10/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu PCR;35
28/10/2020;41;VALLES ORIENTAL;08088;LA GARRIGA;1;Dona;Positiu PCR;4
20/10/2020;11;BAIX LLOBREGAT;08068;CERVELLÓ;1;Dona;Positiu PCR;15
27/09/2020;20;GIRONES;17089;LLAGOSTERA;1;Dona;Positiu PCR;1
